sample_index,time_sec,mean_attribution,normalized_attribution
0,0.0,0.0027107398,0.00030924668
1,0.0039,0.0022921718,0.0002614956
2,0.0078,0.0026062147,0.00029732223
3,0.0117,0.0021486278,0.0002451198
4,0.0156,0.0026810612,0.00030586089
5,0.0195,0.0025560155,0.0002915954
6,0.0234,0.0027891754,0.00031819477
7,0.0273,0.004009365,0.00045739647
8,0.0312,0.0029653606,0.00033829434
9,0.0352,0.004874328,0.0005560732
10,0.0391,0.00426992,0.00048712108
11,0.043,0.0030034787,0.00034264292
12,0.0469,0.0035536564,0.0004054083
13,0.0508,0.0030096823,0.00034335064
14,0.0547,0.0033662461,0.00038402816
15,0.0586,0.0037106469,0.0004233181
16,0.0625,0.0036687115,0.00041853404
17,0.0664,0.003945608,0.00045012296
18,0.0703,0.0045494367,0.00051900896
19,0.0742,0.0036096626,0.0004117976
20,0.0781,0.0036039732,0.00041114853
21,0.082,0.0034610515,0.00039484375
22,0.0859,0.004218192,0.00048121985
23,0.0898,0.0036473607,0.00041609828
24,0.0938,0.0035166563,0.00040118725
25,0.0977,0.004210728,0.00048036838
26,0.1016,0.0047011636,0.0005363182
27,0.1055,0.004870516,0.0005556383
28,0.1094,0.0046153627,0.0005265299
29,0.1133,0.0040383893,0.0004607076
30,0.1172,0.0056301784,0.00064230216
31,0.1211,0.0043879217,0.000500583
32,0.125,0.004524832,0.000516202
33,0.1289,0.0041948105,0.00047855245
34,0.1328,0.0054952516,0.00062690943
35,0.1367,0.0045651183,0.0005207979
36,0.1406,0.004739494,0.0005406911
37,0.1445,0.0046292692,0.0005281164
38,0.1484,0.0050966614,0.00058143743
39,0.1523,0.005188544,0.0005919196
40,0.1562,0.00529479,0.00060404034
41,0.1602,0.006506754,0.0007423037
42,0.1641,0.0059097214,0.00067419297
43,0.168,0.0050863912,0.00058026577
44,0.1719,0.0051950044,0.0005926566
45,0.1758,0.0056836666,0.0006484042
46,0.1797,0.0055483747,0.0006329698
47,0.1836,0.0057755457,0.0006588859
48,0.1875,0.005251578,0.0005991106
49,0.1914,0.005616211,0.00064070866
50,0.1953,0.0065876017,0.0007515269
51,0.1992,0.0052418956,0.00059800607
52,0.2031,0.0054901,0.0006263217
53,0.207,0.005000454,0.0005704619
54,0.2109,0.0061439914,0.00070091896
55,0.2148,0.0054991515,0.0006273543
56,0.2188,0.005981596,0.00068239257
57,0.2227,0.006324394,0.0007214997
58,0.2266,0.0062066927,0.00070807204
59,0.2305,0.007449755,0.00084988313
60,0.2344,0.0065377583,0.00074584066
61,0.2383,0.0050179265,0.0005724552
62,0.2422,0.0051663206,0.0005893843
63,0.2461,0.004969435,0.0005669232
64,0.25,0.004910421,0.00056019076
65,0.2539,0.0051630144,0.0005890071
66,0.2578,0.005482675,0.00062547467
67,0.2617,0.005268686,0.0006010623
68,0.2656,0.005318209,0.000606712
69,0.2695,0.00473296,0.0005399456
70,0.2734,0.006157456,0.000702455
71,0.2773,0.0052382727,0.00059759273
72,0.2812,0.0047510373,0.00054200797
73,0.2852,0.0061849607,0.0007055928
74,0.2891,0.0056090485,0.0006398916
75,0.293,0.0050067143,0.00057117606
76,0.2969,0.0052984064,0.0006044529
77,0.3008,0.0054627317,0.00062319945
78,0.3047,0.005242075,0.0005980265
79,0.3086,0.00608468,0.0006941526
80,0.3125,0.0044817287,0.0005112847
81,0.3164,0.004705761,0.00053684274
82,0.3203,0.0048269522,0.00055066845
83,0.3242,0.004944628,0.0005640932
84,0.3281,0.0061311964,0.0006994593
85,0.332,0.0050810715,0.0005796589
86,0.3359,0.0067392173,0.00076882355
87,0.3398,0.006517906,0.0007435759
88,0.3438,0.0055388473,0.00063188287
89,0.3477,0.005789933,0.00066052726
90,0.3516,0.0062715504,0.00071547116
91,0.3555,0.006525588,0.0007444523
92,0.3594,0.005290724,0.0006035765
93,0.3633,0.005182145,0.0005911896
94,0.3672,0.005646869,0.00064420624
95,0.3711,0.0063210237,0.00072111515
96,0.375,0.0053813574,0.00061391614
97,0.3789,0.00468728,0.00053473434
98,0.3828,0.004961134,0.0005659762
99,0.3867,0.0049096853,0.0005601068
100,0.3906,0.0058776317,0.0006705321
101,0.3945,0.0055131298,0.00062894897
102,0.3984,0.0060948436,0.0006953121
103,0.4023,0.0050297175,0.00057380035
104,0.4062,0.0044040624,0.0005024243
105,0.4102,0.005799217,0.0006615864
106,0.4141,0.0049944515,0.0005697771
107,0.418,0.004520222,0.00051567605
108,0.4219,0.005929968,0.0006765027
109,0.4258,0.00525846,0.0005998958
110,0.4297,0.005556348,0.0006338794
111,0.4336,0.0062747328,0.0007158342
112,0.4375,0.0056760684,0.00064753735
113,0.4414,0.0056304205,0.00064232975
114,0.4453,0.0064944164,0.00074089615
115,0.4492,0.005104648,0.00058234856
116,0.4531,0.006099871,0.0006958856
117,0.457,0.0057169716,0.0006522037
118,0.4609,0.005391116,0.00061502936
119,0.4648,0.005753724,0.00065639644
120,0.4688,0.004998753,0.00057026785
121,0.4727,0.0059229285,0.0006756997
122,0.4766,0.0061461036,0.00070115994
123,0.4805,0.0049513937,0.000564865
124,0.4844,0.0065627513,0.0007486919
125,0.4883,0.005133358,0.00058562384
126,0.4922,0.0053240615,0.0006073797
127,0.4961,0.0057807597,0.00065948075
128,0.5,0.0072566797,0.0008278567
129,0.5039,0.0066589904,0.0007596711
130,0.5078,0.006563203,0.0007487435
131,0.5117,0.005830568,0.000665163
132,0.5156,0.0068823723,0.00078515493
133,0.5195,0.0051999115,0.0005932164
134,0.5234,0.0059544714,0.00067929813
135,0.5273,0.0049011847,0.000559137
136,0.5312,0.0049614497,0.0005660122
137,0.5352,0.0070904344,0.0008088911
138,0.5391,0.0064860564,0.0007399424
139,0.543,0.0061701597,0.0007039043
140,0.5469,0.007141034,0.0008146636
141,0.5508,0.0058758166,0.000670325
142,0.5547,0.006725475,0.0007672558
143,0.5586,0.0067796153,0.0007734322
144,0.5625,0.005996203,0.000684059
145,0.5664,0.0066121845,0.00075433135
146,0.5703,0.00688654,0.00078563043
147,0.5742,0.005497395,0.00062715396
148,0.5781,0.005576614,0.0006361914
149,0.582,0.005428862,0.0006193355
150,0.5859,0.0064390334,0.00073457794
151,0.5898,0.006031037,0.0006880329
152,0.5938,0.0061808024,0.0007051184
153,0.5977,0.0072045103,0.0008219051
154,0.6016,0.0063514146,0.00072458223
155,0.6055,0.0066250493,0.000755799
156,0.6094,0.008054735,0.0009189005
157,0.6133,0.007892968,0.00090044574
158,0.6172,0.008568865,0.0009775534
159,0.6211,0.007539992,0.00086017756
160,0.625,0.0058971476,0.0006727585
161,0.6289,0.0053688195,0.0006124858
162,0.6328,0.0067753345,0.00077294384
163,0.6367,0.0054887002,0.00062616204
164,0.6406,0.0076212646,0.0008694493
165,0.6445,0.0059556887,0.000679437
166,0.6484,0.0074822945,0.00085359527
167,0.6523,0.005675438,0.0006474654
168,0.6562,0.0075325537,0.00085932895
169,0.6602,0.009291924,0.0010600415
170,0.6641,0.007503486,0.0008560128
171,0.668,0.007208923,0.0008224085
172,0.6719,0.0081223305,0.0009266119
173,0.6758,0.0059896256,0.0006833086
174,0.6797,0.006081495,0.0006937892
175,0.6836,0.006112069,0.0006972772
176,0.6875,0.0058467747,0.0006670119
177,0.6914,0.00653746,0.0007458066
178,0.6953,0.007129361,0.0008133319
179,0.6992,0.0062998463,0.0007186992
180,0.7031,0.0060294946,0.0006878569
181,0.707,0.0055820732,0.0006368142
182,0.7109,0.0061032786,0.00069627434
183,0.7148,0.005814022,0.00066327536
184,0.7188,0.006322409,0.0007212732
185,0.7227,0.005694936,0.0006496898
186,0.7266,0.006352109,0.0007246614
187,0.7305,0.0055000912,0.00062746153
188,0.7344,0.005992561,0.0006836435
189,0.7383,0.006409452,0.00073120324
190,0.7422,0.007068494,0.0008063881
191,0.7461,0.005759296,0.0006570321
192,0.75,0.0059879036,0.0006831121
193,0.7539,0.0057756756,0.00065890077
194,0.7578,0.00633754,0.0007229994
195,0.7617,0.005594304,0.0006382095
196,0.7656,0.0066155074,0.00075471046
197,0.7695,0.004895445,0.00055848225
198,0.7734,0.0067997603,0.0007757304
199,0.7773,0.0052253213,0.0005961152
200,0.7812,0.0068491506,0.000781365
201,0.7852,0.0060360003,0.00068859913
202,0.7891,0.0062795063,0.00071637874
203,0.793,0.0051608286,0.00058875774
204,0.7969,0.0058558835,0.000668051
205,0.8008,0.0057784747,0.0006592201
206,0.8047,0.005832942,0.0006654338
207,0.8086,0.005819276,0.0006638748
208,0.8125,0.0054519693,0.0006219717
209,0.8164,0.0060843853,0.00069411896
210,0.8203,0.0064990623,0.00074142613
211,0.8242,0.0055217263,0.0006299297
212,0.8281,0.0071727117,0.0008182774
213,0.832,0.0054490054,0.00062163355
214,0.8359,0.006566832,0.00074915745
215,0.8398,0.005161411,0.0005888242
216,0.8438,0.0048417184,0.00055235304
217,0.8477,0.005968152,0.00068085885
218,0.8516,0.005888697,0.00067179446
219,0.8555,0.0072728354,0.00082969974
220,0.8594,0.0073604835,0.0008396988
221,0.8633,0.0067242305,0.0007671138
222,0.8672,0.006800364,0.0007757993
223,0.8711,0.005809364,0.000662744
224,0.875,0.0057840063,0.0006598511
225,0.8789,0.00629883,0.00071858324
226,0.8828,0.0072719604,0.0008295999
227,0.8867,0.005681195,0.00064812216
228,0.8906,0.0062192855,0.00070950866
229,0.8945,0.0062853293,0.00071704306
230,0.8984,0.007010889,0.00079981633
231,0.9023,0.0058898763,0.000671929
232,0.9062,0.005318998,0.00060680206
233,0.9102,0.006247751,0.00071275607
234,0.9141,0.0059333625,0.00067688996
235,0.918,0.005743736,0.000655257
236,0.9219,0.006979306,0.00079621334
237,0.9258,0.006824969,0.0007786062
238,0.9297,0.006390458,0.00072903634
239,0.9336,0.006546615,0.0007468511
240,0.9375,0.006115062,0.00069761864
241,0.9414,0.0059617,0.00068012276
242,0.9453,0.0071096956,0.0008110884
243,0.9492,0.005592181,0.0006379673
244,0.9531,0.008086571,0.0009225323
245,0.957,0.0066852416,0.0007626659
246,0.9609,0.0076718135,0.000875216
247,0.9648,0.0065822448,0.0007509158
248,0.9688,0.006380764,0.00072793046
249,0.9727,0.005823341,0.0006643385
250,0.9766,0.007329029,0.00083611044
251,0.9805,0.007637326,0.0008712816
252,0.9844,0.0075907935,0.00086597307
253,0.9883,0.006614322,0.0007545752
254,0.9922,0.0070136013,0.0008001258
255,0.9961,0.0052678715,0.0006009694
256,1.0,0.00536313,0.00061183673
257,1.0039,0.006999064,0.0007984673
258,1.0078,0.00755343,0.0008617105
259,1.0117,0.006335607,0.00072277884
260,1.0156,0.00685457,0.0007819832
