,FP1-F7,F7-T7,T7-P7,P7-O1,FP1-F3,F3-C3,C3-P3,P3-O1,FP2-F4,F4-C4,C4-P4,P4-O2,FP2-F8,F8-T8,T8-P8,P8-O2,FZ-CZ,CZ-PZ,P7-T7,T7-FT9,FT9-FT10,FT10-T8,T8-P8
FP1-F7,0.23041976409951273,0.0,0.0,0.0,0.17881082849541974,0.07713196035885152,0.0,0.0,0.1384074430293233,0.08761345435415413,0.0,0.0,0.11294176169336656,0.11425862346988314,0.0,0.0,0.08362411520099539,0.0,0.0,0.0,0.14228666894604405,0.0,0.0
F7-T7,0.0,0.3622678982677818,0.0,0.0,0.0,0.1432902686617069,0.0,0.0,0.0,0.0,0.0,0.0,0.1165034652399477,0.0,0.0,0.0,0.1051406493415326,0.0,0.0,0.2796757794474388,0.0,0.0,0.0
T7-P7,0.0,0.0,0.4227734805785105,0.0,0.0,0.0,0.14634515720225114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42277348057851616,0.0,0.0,0.0,0.0
P7-O1,0.0,0.0,0.0,0.5340697839350108,0.0,0.0,0.0,0.23211003394508967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1867177398539581,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FP1-F3,0.17881082849541974,0.0,0.0,0.0,0.34335996114429673,0.0,0.0,0.0,0.25796879973738385,0.0,0.0,0.0,0.14701028229326715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F3-C3,0.07713196035885153,0.1432902686617069,0.0,0.0,0.0,0.27401032938571723,0.0,0.0,0.0,0.1427681824863686,0.0,0.0,0.09332884371180807,0.0,0.0,0.0,0.18458224395606965,0.11407843709311688,0.0,0.0,0.0,0.0,0.0
C3-P3,0.0,0.0,0.14634515720225114,0.0,0.0,0.0,0.37955221791851657,0.0,0.0,0.0,0.1410265620560398,0.0,0.0,0.0,0.0,0.0,0.0,0.19421128452639808,0.14634515720222666,0.0,0.0,0.0,0.0
P3-O1,0.0,0.0,0.0,0.2321100339450897,0.0,0.0,0.0,0.4221775785285965,0.0,0.0,0.0,0.2528196816207788,0.0,0.0,0.0,0.1352977375682495,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FP2-F4,0.13840744302932328,0.0,0.0,0.0,0.2579687997373838,0.0,0.0,0.0,0.3469540764099652,0.0,0.0,0.0,0.180173376353545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F4-C4,0.08761345435415413,0.0,0.0,0.0,0.0,0.1427681824863686,0.0,0.0,0.0,0.27537434406036243,0.0,0.0,0.08729899127909531,0.15590038080938098,0.0,0.0,0.17893739480579648,0.10971970474699243,0.0,0.0,0.0,0.0,0.0
C4-P4,0.0,0.0,0.0,0.0,0.0,0.0,0.1410265620560398,0.0,0.0,0.0,0.3609673278882075,0.0,0.0,0.0,0.16716551401955052,0.0,0.0,0.18872075912151098,0.0,0.0,0.0,0.0,0.16716551401955052
P4-O2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2528196816207788,0.0,0.0,0.0,0.47056387299763497,0.0,0.0,0.0,0.2548986311184872,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FP2-F8,0.11294176169336656,0.11650346523994771,0.0,0.0,0.14701028229326715,0.09332884371180807,0.0,0.0,0.180173376353545,0.0872989912790953,0.0,0.0,0.22468559572536698,0.0,0.0,0.0,0.08791847361812734,0.0,0.0,0.0,0.11371989640198685,0.0,0.0
F8-T8,0.11425862346988314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15590038080938098,0.0,0.0,0.0,0.42351035155966804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28272473197018605,0.0
T8-P8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1671655140195505,0.0,0.0,0.0,0.41083091623215345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41083091623215345
P8-O2,0.0,0.0,0.0,0.18671773985395806,0.0,0.0,0.0,0.13529773756824948,0.0,0.0,0.0,0.2548986311184872,0.0,0.0,0.0,0.4436334356208854,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FZ-CZ,0.08362411520099539,0.10514064934153261,0.0,0.0,0.0,0.18458224395606965,0.0,0.0,0.0,0.17893739480579648,0.0,0.0,0.08791847361812734,0.0,0.0,0.0,0.3129948335017285,0.0,0.0,0.0,0.0,0.0,0.0
CZ-PZ,0.0,0.0,0.0,0.0,0.0,0.11407843709311688,0.19421128452639808,0.0,0.0,0.10971970474699241,0.18872075912151098,0.0,0.0,0.0,0.0,0.0,0.0,0.3632899314459127,0.0,0.0,0.0,0.0,0.0
P7-T7,0.0,0.0,0.42277348057851616,0.0,0.0,0.0,0.14634515720222666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4227734805785224,0.0,0.0,0.0,0.0
T7-FT9,0.0,0.2796757794474388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6309156822227722,0.0,0.0,0.0
FT9-FT10,0.14228666894604405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11371989640198685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5885463629461718,0.0,0.0
FT10-T8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2827247319701861,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6497965077848339,0.0
T8-P8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1671655140195505,0.0,0.0,0.0,0.41083091623215345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41083091623215345
