time,window_signal
2996.0,62.839606900614584
2996.00390625,56.62950967937381
2996.0078125,52.282700023556444
2996.01171875,50.68025711241853
2996.015625,51.404757686732694
2996.01953125,52.85268277350324
2996.0234375,53.06552216805154
2996.02734375,50.87476811042848
2996.03125,46.67680133579467
2996.03515625,42.25804135345356
2996.0390625,39.629367314456246
2996.04296875,39.585093308545275
2996.046875,41.07003700293673
2996.05078125,41.91040714588098
2996.0546875,40.36882499286992
2996.05859375,36.30208865688074
2996.0625,31.064278285210396
2996.06640625,26.380288449664135
2996.0703125,23.222880758997693
2996.07421875,21.517220849937264
2996.078125,20.584574978953498
2996.08203125,19.655186245845307
2996.0859375,18.040486145938125
2996.08984375,15.150751683599148
2996.09375,10.709228558121763
2996.09765625,5.087750983494778
2996.1015625,-0.7398676723596906
2996.10546875,-5.884117125331511
2996.109375,-10.356813224214925
2996.11328125,-15.177156719391558
2996.1171875,-21.548675636910037
2996.12109375,-29.814219837967727
2996.125,-39.10622746995026
2996.12890625,-47.905892568023994
2996.1328125,-54.86572202887456
2996.13671875,-59.13300936346983
2996.140625,-60.13112336893802
2996.14453125,-57.42368521090417
2996.1484375,-51.06722202549667
2996.15234375,-42.064265882965366
2996.15625,-32.19967940713559
2996.16015625,-23.118333515023828
2996.1640625,-15.386760935759902
2996.16796875,-8.504472656780303
2996.171875,-1.9967742137294584
2996.17578125,3.4259508186580563
2996.1796875,5.8483547550511465
2996.18359375,3.41893854770601
2996.1875,-4.146104475621604
2996.19140625,-15.07477366911117
2996.1953125,-26.458144327981675
2996.19921875,-35.86470666123167
2996.203125,-42.485598671495296
2996.20703125,-47.13354800276247
2996.2109375,-51.29065666852376
2996.21484375,-55.91306382829818
2996.21875,-60.68256723523049
2996.22265625,-64.08535768666242
2996.2265625,-64.27288763421768
2996.23046875,-60.22556054752499
2996.234375,-52.500381744698586
2996.23828125,-43.05033349803119
2996.2421875,-34.23915467377266
2996.24609375,-27.75796308308992
2996.25,-24.14052208292181
2996.25390625,-23.00889105581297
2996.2578125,-23.65020990738868
2996.26171875,-25.484087934223602
2996.265625,-28.28729409493444
2996.26953125,-32.244227992712425
2996.2734375,-37.81052876721112
2996.27734375,-45.29321065029527
2996.28125,-54.27256637616925
2996.28515625,-63.33342331502795
2996.2890625,-70.51089418865129
2996.29296875,-74.26291960651554
2996.296875,-74.23198077587186
2996.30078125,-71.20216989405631
2996.3046875,-66.41316435133709
2996.30859375,-60.946956193952346
2996.3125,-55.632420427913935
2996.31640625,-51.170427180430245
2996.3203125,-47.924212473149645
2996.32421875,-45.4138927883653
2996.328125,-42.23957066901475
2996.33203125,-36.9542714224031
2996.3359375,-29.384333827915693
2996.33984375,-21.160053532371332
2996.34375,-14.695770442718525
2996.34765625,-11.265073762334932
2996.3515625,-9.830927870146958
2996.35546875,-7.7799034955486555
2996.359375,-3.0072793835118103
2996.36328125,4.4376478870659195
2996.3671875,12.490820100960185
2996.37109375,18.757910046480198
2996.375,22.299735319391
2996.37890625,24.150743937801437
2996.3828125,26.326186475248377
2996.38671875,30.246375623343642
2996.390625,35.757889328237376
2996.39453125,41.241287531091146
2996.3984375,44.49960779190405
2996.40234375,43.813366424504245
2996.40625,38.65603212411685
2996.41015625,29.84064266692216
2996.4140625,19.134078669058894
2996.41796875,8.535968444150905
2996.421875,-0.47189694206393723
2996.42578125,-7.345121427738972
2996.4296875,-12.365121981452178
2996.43359375,-16.13034806580138
2996.4375,-18.994577514842334
2996.44140625,-20.759089723152094
2996.4453125,-20.74657031465415
2996.44921875,-18.169537721591176
2996.453125,-12.578912336546265
2996.45703125,-4.200253086275762
2996.4609375,5.995721536913141
2996.46484375,16.609875650188982
2996.46875,26.43857332559958
2996.47265625,35.027914251356464
2996.4765625,42.73652712583938
2996.48046875,50.20999833223684
2996.484375,57.630050687571575
